replicate,flux_median_ratio,active_area_median_ratio,diversity_ratio,saturation_fraction,generic_distance_ratio,flux_median_ratio_pass,active_area_median_ratio_pass,diversity_ratio_pass,saturation_fraction_pass,generic_distance_ratio_pass,joint_gate_pass
71,1.3954108018599798,1.0626655192564065,1.0383271385127315,0.0006957054123749999,6.983305920214315,True,True,True,True,True,True
72,1.6450403210258164,1.2690721880904838,1.1845356556487339,0.00075483322040625,11.427104220810282,True,True,True,True,False,False
73,1.4375627280479342,1.0826271334627982,1.040802644359839,0.0006608963001875001,7.301930806694191,True,True,True,True,True,True
74,1.6526849801615808,1.1536412363220883,1.1450001590898389,0.0007224082930156249,11.114533406601836,True,True,True,True,False,False
75,1.4683816277063142,1.0882616508371683,1.1109302578648064,0.0006766319277968749,8.665013567571712,True,True,True,True,False,False
76,1.566929533552781,1.1871945186791615,1.1155255373475341,0.000640392302890625,9.856520834915427,True,True,True,True,False,False
77,1.3744960458908193,0.9580419826506367,0.9708806802158405,0.000531673430515625,7.191293571998487,True,True,True,True,True,True
78,1.4120279004911742,1.1201091451637237,1.1290196403812613,0.0007700920098125,8.240623982166557,True,True,True,True,False,False
79,1.7292586777035466,1.2852697470966414,1.1071162091057585,0.0007510185240468751,10.209677979979741,True,True,True,True,False,False
80,1.4989255483566701,1.153015326325415,1.068943614419669,0.000783920289828125,7.586219744187326,True,True,True,True,True,True
81,1.6093388174424699,1.2114144069173236,1.1202977808925323,0.000658988955140625,9.321321049637055,True,True,True,True,False,False
82,1.4249659293690626,1.0787213441808754,1.0874535878812335,0.000639915465859375,6.662561352858643,True,True,True,True,True,True
83,1.3089281180642878,1.012079369072091,1.0210221080318391,0.0006804466229062499,6.653620208393379,True,True,True,True,True,True
84,1.789193573931885,1.3683060168780627,1.1257121058007928,0.00070619583278125,10.912786509448408,True,True,True,True,False,False
85,1.4505834400067712,1.1013333663440596,1.0450808946881367,0.00071477890028125,7.236950792067714,True,True,True,True,True,True
86,1.5542713132902664,1.2145790619006025,1.0432021167738463,0.000644683836359375,8.195475563699798,True,True,True,True,False,False
87,1.4307712189947848,1.017754352570173,1.0201906348527974,0.00064659118571875,7.2935266978577955,True,True,True,True,True,True
88,1.6695110001050837,1.28402064579952,1.1504788884898522,0.00062131881803125,9.706639128290742,True,True,True,True,False,False
89,1.5424673637798734,1.1719367562056586,1.0752333300229195,0.0007724761939687499,8.157635176750201,True,True,True,True,False,False
90,1.666867594943322,1.274488701036266,1.1487196171875012,0.0006999969460312499,10.128658756002809,True,True,True,True,False,False
91,1.4971613271648339,1.0696203000434932,1.038174131026244,0.00062990188496875,7.525907516212032,True,True,True,True,True,True
92,1.452855747524833,1.0862222354912396,1.11456025379397,0.0007557868949687499,7.592231195534752,True,True,True,True,True,True
93,1.4677058038791193,1.1226783627819585,1.0772406272310366,0.0006599426259687501,6.7406712661581745,True,True,True,True,True,True
94,1.603731237120745,1.2078533607632946,1.0940099353822559,0.0006399154640468749,8.469767435017296,True,True,True,True,False,False
95,1.4841561954790594,1.1316793800044287,1.151495986864107,0.0007457733160625,8.630510781094562,True,True,True,True,False,False
96,1.5290265357576107,1.1417399775925177,1.0804826823060838,0.0005717277529531249,7.003093401532679,True,True,True,True,True,True
97,1.4400231792295974,1.0441306595839968,1.0463361463757113,0.0006256103502031249,7.379531674190003,True,True,True,True,True,True
98,1.6671112034753226,1.2840108508079795,1.0787190073684796,0.000620365141984375,8.972184277446804,True,True,True,True,False,False
99,1.4416659045689588,1.0304720588822653,1.0844172760824027,0.0007266998289687499,8.370122719926549,True,True,True,True,False,False
100,1.4052490650988738,0.993611635264231,1.0557249119677954,0.0006508827216874999,6.90508118899132,True,True,True,True,True,True
101,1.4748079222841477,1.1119198737463036,1.1139840714897886,0.000720024106515625,8.11930233642,True,True,True,True,False,False
102,1.6874055705805966,1.333333351093767,1.0994876437031655,0.000685691833953125,8.55174887630308,True,True,True,True,False,False
103,1.5813418478590557,1.1588740371195152,1.1334971154153994,0.00070047378459375,9.48626062798615,True,True,True,True,False,False
104,1.3021473559607175,0.9033793337200404,1.010446507750942,0.000572204588125,6.318835187479571,True,True,True,True,True,True
105,1.3362484491821387,1.0598910627588203,1.0577601790074436,0.000664710996921875,7.860005674381179,True,True,True,True,True,True
106,1.5039631415575463,1.1089689835629886,1.0497335752736305,0.00071239471303125,7.231631115997897,True,True,True,True,True,True
107,1.4005456344875131,1.0096279697667088,1.0495807577065912,0.00063371658209375,7.650715208343581,True,True,True,True,True,True
108,1.720235666391109,1.3396017962954034,1.1331530429216734,0.00065279007053125,10.873788572111557,True,True,True,True,False,False
109,1.354386124800492,0.9682402853431695,1.1103535761462924,0.000627040863203125,7.457291013238069,True,True,True,True,True,True
110,1.5794483449833787,1.0928641273922461,1.0842730744246074,0.0006012916560468749,8.156757619676446,True,True,True,True,False,False
111,1.7205473584149513,1.2660455671950932,1.1570036161151966,0.0006656646722812499,9.526613307002304,True,True,True,True,False,False
112,1.5204503419302866,1.1479262726045405,1.1281198820369565,0.0007104873654999999,9.580385829546639,True,True,True,True,False,False
113,1.3881643595111803,1.0821355322836965,1.0099681153585878,0.000556468962859375,6.970940791501236,True,True,True,True,True,True
114,1.5277698537073556,1.1368421261402775,1.065635063531611,0.0007128715492656249,7.849533017548422,True,True,True,True,True,True
115,1.3391890219022826,0.9299362649013889,1.0447755669444716,0.0005960464478125,7.037244126200272,True,True,True,True,True,True
116,1.5490387127354628,1.1401152116012563,1.043078344483821,0.0006208419783906249,7.16993844431462,True,True,True,True,True,True
117,1.613207895739414,1.2287650039533335,1.06176840386378,0.0006890296914062499,7.740490218246328,True,True,True,True,True,True
118,1.4390575442541031,1.2230849122014331,1.0395594890570867,0.0005855560292812499,7.568620730660466,True,True,True,True,True,True
119,1.6263143023099043,1.2561904603488945,1.1447244814961863,0.0007500648468125,9.784046482748789,True,True,True,True,False,False
120,1.541945226689547,1.139172983455205,1.0945825830133247,0.0007061958293437499,8.567157922010297,True,True,True,True,False,False
121,1.3083496196908317,0.9883346712062079,0.9899870570507469,0.0006728172294687499,6.618448666433864,True,True,True,True,True,True
122,1.4821262142804201,1.0480686288463021,1.0322126817040524,0.0006957054138281249,6.859973576184668,True,True,True,True,True,True
123,1.4493404568393395,1.1559139793556794,1.0420250805420712,0.0006465911849375,7.579322906662985,True,True,True,True,True,True
124,1.6128120354025308,1.2371727862136412,1.0747109462932474,0.0006546974169375,8.348958449731892,True,True,True,True,False,False
125,1.5476693153744667,1.1679960358232986,1.0826842102307428,0.000591754912703125,7.759026522213749,True,True,True,True,True,True
126,1.6957331290132864,1.3123655950444215,1.1128364241003812,0.0006890296929531249,9.025973262265978,True,True,True,True,False,False
